,category,name,ingredients,method,garnish,diffords,diffords_url,method_esp,diff_glass,diff_garnish,diff_nutrition
0,Contemporary Classics,Bellini,"100 ml Prosecco,50 ml White Peach Puree","Pour peach puree into the mixing glass with ice, add the Prosecco wine. Stir gently and pour in a chilled flute glass.  Note: PUCCINI - Fresh Mandarin Orange Juice; ROSSINI - Fresh Strawberry Puree; TINTORETTO - Fresh Pomegranate Juice.",,Bellini,/cocktails/recipe/202/bellini-diffords-recipe,"Vierta el puré de melocotón en el vaso mezclador con hielo, añada el vino Prosecco. Remover suavemente y servir en una copa flauta fría.  Nota: PUCCINI - Zumo fresco de mandarina; ROSSINI - Puré fresco de fresa; TINTORETTO - Zumo fresco de granada.",Flute glass,Peach slice on rim,105.0
1,Contemporary Classics,Black Russian,"50 ml Vodka,20 ml Coffee Liqueur",Pour the ingredients into the old fashioned glass filled with ice cubes. Stir gently.  Note: WHITE RUSSIAN - Float fresh cream on the top and stir in slowly.,,Black Russian,/cocktails/recipe/236/black-russian,Vierta los ingredientes en el vaso old fashioned lleno de cubitos de hielo. Remover suavemente.  Nota: RUSO BLANCO - Poner nata fresca encima y remover lentamente.,Old-fashioned glass,Lemon slice & Luxardo Maraschino cherry on stick (sail),197.0
2,Contemporary Classics,Bloody Mary,"45 ml Vodka,90 ml Tomato Juice,15 ml Fresh Lemon Juice,2 dashes Worcestershire Sauce,Tabasco,Celery Salt,Pepper (Up to taste)","Stir gently all the ingredients in a mixing glass with ice, pour into rocks glass. Note: If requested served with ice, pour into highball glass.","Celery, Lemon Wedge (Optional)",Bloody Mary,/cocktails/recipe/2307/bloody-mary-diffords-recipe,"Remover suavemente todos los ingredientes en un vaso mezclador con hielo y verter en un vaso con hielo. Nota: Si se desea servir con hielo, verter en un vaso highball.",Collins glass,"Celery salt & black pepper rim + garnish with celery stick, cherry tomato & strip yellow bell pepper",
3,Contemporary Classics,Caipirinha,"60 ml Cachaça,1 Lime cut into small wedges,4 Teaspoons White Cane Sugar",Place lime and sugar into a double old fashioned glass and muddle gently. Fill the glass with cracked ice and add Cachaça. Stir gently to involve ingredients. Note: CAIPIROSKA - Instead of Cachaça use Vodka;,,Caipirinha,/cocktails/recipe/354/caipirinha,"Poner la lima y el azúcar en un vaso old fashioned doble y remover suavemente. Llene el vaso con hielo picado y añada la cachaça. Remover suavemente para mezclar los ingredientes. Nota: CAIPIROSKA - En lugar de cachaça, utilice vodka;",Highball (max 10oz/300ml),"Stirrer (spoon, wooden lolly stick or stick cut from sugar cane)",
4,Contemporary Classics,Champagne Cocktail,"90 ml Chilled Champagne,10 ml Cognac,2 dashes Angostura bitters,Few drops of Grand Marnier (optional),1 sugar cube","Place the sugar cube with 2 dashes of bitters in a large Champagne glass, add the cognac. Pour gently chilled Champagne.",Garnish with orange zest and maraschino cherry.,Champagne Cocktail,/cocktails/recipe/393/champagne-cocktail,"Ponga el terrón de azúcar con 2 chorritos de amargo en una copa grande de champán, añada el coñac. Vierta el champán ligeramente frío.",Flute glass,Orange zest twist (discarded),
5,Contemporary Classics,Cosmopolitan,"40 ml Vodka Citron,15 ml Cointreau,15 ml Fresh Lime Juice,30 ml Cranberry Juice",Add all ingredients into a cocktail shaker filled with ice. Shake well and strain into a large cocktail glass.,Garnish with a lemon twist.,Cosmopolitan,/cocktails/recipe/472/cosmopolitan-cocktail-diffords-recipe,Añada todos los ingredientes en una coctelera llena de hielo. Agitar bien y colar en una copa de cóctel grande.,Coupe glass,Orange zest twist (flamed),160.0
6,Contemporary Classics,Cuba Libre,"50 ml White Rum,120 ml Coca Cola,10 ml Fresh Lime Juice",Build all ingredients in a highball glass filled with ice.,Garnish with lime wedge.,Cuba Libre,/cocktails/recipe/495/cuba-libre,Poner todos los ingredientes en un vaso highball lleno de hielo.,Collins glass,Lime wedge,
7,Contemporary Classics,French 75,"30 ml Gin,15 ml Fresh Lemon Juice,15 ml Sugar Syrup,60 ml Champagne","Pour all the ingredients, except Champagne, into a shaker. Shake well and strain into a Champagne flute. Top up with Champagne. Stir gently.",,French 75,/cocktails/recipe/790/french-75-cocktail,"Vierta todos los ingredientes, excepto el champán, en una coctelera. Agitar bien y colar en una copa de champán. Rellenar con champán. Remover suavemente.",Flute glass,Lemon zest twist on rim,
8,Contemporary Classics,French Connection,"35 ml Cognac,35 ml Amaretto",Pour all ingredients directly into an old fashioned glass filled with ice cubes. Stir gently.,,French Connection,/cocktails/recipe/2415/french-connection,Vierta todos los ingredientes directamente en un vaso old fashioned lleno de cubitos de hielo. Remover suavemente.,Old-fashioned glass,Lemon zest twist,185.0
9,Contemporary Classics,Golden Dream,"20 ml Galliano,20 ml Triple Sec,20 ml Fresh Orange Juice,10 ml Fresh Cream",Pour all ingredients into shaker filled with ice. Shake briskly for few seconds. Strain into chilled cocktail glass.,,Golden Dream,/cocktails/recipe/875/golden-dream,Vierta todos los ingredientes en una coctelera llena de hielo. Agitar enérgicamente durante unos segundos. Colar en una copa de cóctel fría.,Coupe glass,Sponge biscuit,
10,Contemporary Classics,Grasshopper,"20 ml Crème de Cacao (White),20 ml Crème de Menthe (Green),20 ml Fresh Cream",Pour all ingredients into shaker filled with ice. Shake briskly for few seconds. Strain into chilled cocktail glass.,"N/A, optional mint leaf",Grasshopper,/cocktails/recipe/12892/grasshopper-no-2,Vierta todos los ingredientes en una coctelera llena de hielo. Agitar enérgicamente durante unos segundos. Colar en una copa de cóctel fría.,Old-fashioned glass,Dust with grated chocolate and add a mint sprigs bouquet. Serve with a straw.,
11,Contemporary Classics,Hemingway Special,"60 ml Rum,40 ml Grapefruit Juice,15 ml Maraschino Luxardo,15 ml Fresh Lime",Pour all ingredients into a shaker with ice. Shake well and strain into a large cocktail glass.,,Hemingway Special,/cocktails/recipe/954/hemingway-special-daiquiri-papa-doble,Vierta todos los ingredientes en una coctelera con hielo. Agitar bien y colar en una copa de cóctel grande.,Martini (large 10oz) glass,Luxardo maraschino cherry &/or lime wedge/wheel,345.0
12,Contemporary Classics,Horse's Neck,"40 ml Cognac,120 ml Ginger Ale,Dash of Angostura Bitters (optional)","Pour Cognac and ginger ale directly into a highball glass with ice cubes. Stir gently. If preferred, add dashes of Angostura Bitter.",Garnish with a rind of one lemon spiral.,Horse's Neck,/cocktails/recipe/979/horses-neck-with-a-kick,"Vierta el coñac y el ginger ale directamente en un vaso highball con cubitos de hielo. Remover suavemente. Si lo prefiere, añada unos chorritos de amargo de angostura.",Highball (max 10oz/300ml),Lemon peel (whole),
